time_ma,T_global_mean_c,P_global_mean_mm_month,land_area_fraction,land_components,coastline_index,delta_from_prev_T_global_abs,delta_from_prev_T_field_meanabs,delta_from_prev_T_coherence_ratio,delta_from_prev_T_sign_agreement_frac,delta_from_prev_T_sign_edge_count,delta_from_prev_T_sign_components,delta_from_prev_T_morans_i,delta_from_prev_T_pc1_frac,delta_from_prev_T_effective_rank,delta_from_prev_T_participation_ratio,delta_from_prev_P_global_abs,delta_from_prev_landfrac_field_meanabs,delta_from_prev_coastline_abs,delta_from_prev_land_components_abs
410.0,21.84155736948689,103.18090472494909,0.1654783172672937,20,1898,0.5737802633028402,1.384409488537125,0.4144584879356332,0.7942582656988394,1697.0,85.0,0.9681275888774015,0.36582430721767223,9.969436145715642,5.3856536698383985,1.1270240669994536,0.08912709317644348,28.0,0.0
400.0,22.983121720567674,104.83475337275485,0.16533465898653743,17,1922,1.1415643510807847,1.6661943662285863,0.6851327637511485,0.8903885363745103,1712.0,67.0,0.9650155009119805,0.3957044564178982,9.165880946906414,4.913728422955635,1.6538486478057592,0.08686079321699774,24.0,3.0
390.0,25.06671574602963,111.1594493607189,0.1695699486345685,14,2026,2.083594025461956,2.703621683574336,0.7706677447220834,0.8715997064973766,1767.0,44.0,0.9706479525563487,0.5340187062689733,6.217908595773624,3.131176257322059,6.3246959879640485,0.0965918082305691,104.0,3.0
380.0,25.092261629863344,110.738158461163,0.15355360207758642,19,2116,0.02554588383371481,1.6972567955381401,0.015051277980368972,0.37533990823604035,1708.0,71.0,0.9840549339669684,0.6405716360799069,5.350050675111543,2.3706610343860786,0.42129089955589905,0.10294758893224704,90.0,5.0
370.0,22.920845601285293,105.79485968188656,0.16859660396963297,17,2094,2.171416028578051,2.3644426632929316,0.9183627339704423,0.9677381355440074,1461.0,55.0,0.9339086777422859,0.6780427682268632,4.826771041403824,2.1299037250256796,4.943298779276432,0.0912423382879925,22.0,2.0
360.0,20.831907371000213,100.16784419835403,0.18309153451433063,15,2094,2.0889382302850805,2.3302880844300056,0.8964291772517217,0.953601559441422,1352.0,50.0,0.9546810945450402,0.6078566341768483,5.677145325920124,2.56254071519015,5.6270154835325314,0.08358010884960532,0.0,2.0
350.0,19.831478244074933,98.9454645281737,0.20722449577640661,13,1960,1.0004291269252796,1.378293214269328,0.7258463704006808,0.873402191011404,1602.0,86.0,0.9747117260493455,0.5963424620322876,6.48555901688023,2.712786460046771,1.222379670180331,0.0882137596425152,134.0,2.0
340.0,20.19237869443971,99.969876672773,0.21237615371840465,12,1992,0.36090045036477747,1.029189752278662,0.35066463649266943,0.7150720941214542,2414.0,73.0,0.9275372582447067,0.14357608945827724,20.94642362815813,14.25640355881465,1.024412144599296,0.07568933056993371,32.0,1.0
330.0,19.23172738420745,96.59602488540294,0.23529713195705534,12,2100,0.9606513102322616,1.3793362076869715,0.6964591409103886,0.8904794824450966,2465.0,106.0,0.897694904934306,0.3154773876559136,16.505096559490397,7.831183341184743,3.3738517873700573,0.07352800215241598,108.0,0.0
320.0,17.543187512934903,91.85295421052284,0.24781820463147464,7,1942,1.6885398712725461,1.9967164595619207,0.8456583122688394,0.9248502254647998,1755.0,82.0,0.9493337780007205,0.6038908455883818,6.737347217842234,2.662309082307354,4.7430706748801015,0.0685705831673678,158.0,5.0
310.0,13.502030842417984,84.5372695525741,0.23709808828930376,10,2108,4.041156670516919,4.189121388682622,0.9646788181967116,0.9687407720945782,1217.0,53.0,0.9811812074853973,0.8406427643288199,2.449625699411836,1.4102136287171445,7.3156846579487365,0.0656297320354413,166.0,3.0
300.0,15.834178180377044,89.13208909865034,0.2213770271456133,14,2208,2.3321473379590607,2.6149153366885023,0.8918634210591554,0.9451649791523686,1463.0,60.0,0.9629612480168944,0.7122277869984711,4.433579167999074,1.9491715115099368,4.594819546076238,0.06194098930926217,100.0,4.0
290.0,12.508710581639669,80.82334238582577,0.2340270144337278,6,1742,3.325467598737376,3.5913348192159447,0.9259698040249523,0.9391985681746495,1244.0,55.0,0.977677043356212,0.7578416523170315,3.20690174189859,1.7128698421300064,8.308746712824572,0.0730950353012347,466.0,8.0
